name,KIDS_ID,RAJ2000,DECJ2000,mag,mag_err,zphot,z_min,z_max,score,rms,probability,s*p/10,num_0
galaxy_347.94036_-33.7298.fits.png,KiDSDR4 J231145.686-334347.21,347.940362,-33.729783,18.2051,0.00227834,0.29,0.26,0.31,3.4,3.137,1.0,0.34,2.0
galaxy_158.05362_-2.5588.fits.png,KiDSDR4 J103212.869-023331.66,158.053623,-2.558796,17.9364,0.00191906,0.26,0.23,0.28,3.4,3.137,1.0,0.34,2.0
galaxy_173.54188_-2.4079.fits.png,KiDSDR4 J113410.050-022428.36,173.541875,-2.40788,19.2966,0.00567775,0.66,0.63,0.68,3.4,3.137,0.998,0.339,2.0
LRG_237.47006_-1.1365.fits.png,KiDSDR4 J154952.815-010811.57,237.470064,-1.136549,17.701,0.00263424,0.33,0.3,0.35,3.4,3.137,0.998,0.339,2.0
LRG_34.78658_-33.5222.fits.png,KiDSDR4 J021908.779-333119.81,34.78658,-33.52217,19.4927,0.00657048,0.61,0.58,0.63,3.4,3.137,0.998,0.339,2.0
galaxy_187.14877_-2.585.fits.png,KiDSDR4 J122835.704-023505.95,187.148768,-2.584988,18.2953,0.00315454,0.32,0.29,0.34,3.4,3.137,0.997,0.339,2.0
galaxy_353.50889_-29.8108.fits.png,KiDSDR4 J233402.134-294838.95,353.508894,-29.810821,18.773,0.0034759,0.29,0.25,0.31,3.4,3.137,0.993,0.338,2.0
LRG_219.72264_0.5025.fits.png,KiDSDR4 J143853.432+003009.14,219.722636,0.502539,18.3223,0.00328325,0.39,0.34,0.41,3.4,3.137,0.995,0.338,2.0
galaxy_195.15125_0.3588.fits.png,KiDSDR4 J130036.300+002131.62,195.151254,0.358786,19.1563,0.00543138,0.43,0.39,0.46,3.4,3.137,0.994,0.338,2.0
LRG_343.49439_-34.7427.fits.png,KiDSDR4 J225358.653-344433.68,343.494388,-34.742691,17.1845,0.0019041,0.29,0.26,0.31,4.2,3.429,0.803,0.337,2.0
galaxy_168.20474_-0.3499.fits.png,KiDSDR4 J111249.137-002059.49,168.20474,-0.349861,18.3631,0.00333933,0.28,0.25,0.3,3.4,3.137,0.989,0.336,2.0
galaxy_132.88395_2.1722.fits.png,KiDSDR4 J085132.148+021019.89,132.883951,2.172192,19.5359,0.00516456,0.43,0.4,0.45,3.4,3.137,0.989,0.336,2.0
galaxy_42.10029_-34.0804.fits.png,KiDSDR4 J024824.068-340449.43,42.100286,-34.080399,20.0217,0.0110717,0.62,0.58,0.64,3.4,3.137,0.984,0.335,2.0
LRG_206.2657_-0.4712.fits.png,KiDSDR4 J134503.768-002816.20,206.265703,-0.471168,16.7896,0.00174676,0.17,0.14,0.19,3.4,3.137,0.984,0.335,2.0
LRG_178.25068_-1.162.fits.png,KiDSDR4 J115300.162-010943.30,178.250678,-1.162029,18.6057,0.00396283,0.48,0.45,0.5,4.0,2.683,0.833,0.333,1.0
LRG_45.57696_-29.6841.fits.png,KiDSDR4 J030218.470-294102.70,45.576962,-29.684085,17.9341,0.00447911,0.44,0.41,0.46,3.4,3.137,0.978,0.333,2.0
LRG_31.51076_-33.3647.fits.png,KiDSDR4 J020602.583-332152.80,31.510764,-33.364667,18.67,0.00488558,0.64,0.6,0.66,3.4,3.137,0.98,0.333,2.0
LRG_156.67312_-0.4632.fits.png,KiDSDR4 J102641.548-002747.35,156.673117,-0.463155,18.7601,0.00452515,0.5,0.46,0.53,3.4,3.137,0.974,0.331,2.0
