# 1: Tile name,# 2: Right ascension (degr,# 3: Declination (degr,# 4: Filter,# 5: Date (start of observation,# 6: Average PSF FWHM (arcsec),# 7: Average PSF ellipticity,# 8: Limiting magnitude (5 sigma,# 9: 98% completeness (mag),# 10: Average effective gain,# 11: Quality grade
KIDS_188.0_-0.5,188,-0.5,r,2015-06-04 23:16:14,0.9,0.05,24.89,23.75,30085100000000,A
KIDS_354.1_-32.1,354.118,-32.148,i,2012-05-09 09:07:55,0.66,0.05,23.59,22.71,13101310000000,B
KIDS_330.9_-31.2,330.874,-31.159,g,2015-06-24 04:58:19,0.99,0.04,25.1,23.95,15606530000000,A
KIDS_187.0_0.5,187,0.5,i,2012-07-29 00:03:32,0.89,0.05,23.3,22.17,12789670000000,B
KIDS_221.6_-2.5,221.616,-2.478,r,2014-03-28 08:07:58,0.68,0.05,24.93,23.98,30563400000000,B
KIDS_182.0_0.5,182,0.5,g,2012-07-08 00:13:45,0.78,0.05,24.82,23.74,15874540000000,B
KIDS_182.0_0.5,182,0.5,i,2015-02-13 05:46:50,0.99,0.05,24.02,22.81,12639590000000,A
KIDS_335.0_-33.1,335.05,-33.137,g,2014-07-20 03:57:47,0.76,0.06,25.24,24.24,16770110000000,B
KIDS_213.0_-1.5,213,-1.489,g,2014-04-21 02:37:58,0.94,0.05,25.06,23.94,16504020000000,A
KIDS_351.7_-33.1,351.683,-33.137,r,2012-11-17 01:58:20,0.76,0.04,25.07,24.07,29895510000000,A
KIDS_213.6_-2.5,213.593,-2.478,u,2015-03-20 08:01:33,1.28,0.04,24.08,22.74,3271140000000,B
KIDS_356.5_-31.2,356.505,-31.159,i,2012-06-06 08:17:36,0.97,0.04,23.45,22.24,13132560000000,B
KIDS_224.0_0.5,224,0.5,r,2014-03-26 08:47:21,0.66,0.04,24.88,23.96,29683100000000,B
KIDS_212.6_-2.5,212.591,-2.478,u,2014-07-27 23:55:12,0.83,0.04,24.05,22.96,2851232000000,C
KIDS_356.5_-32.1,356.471,-32.148,u,2014-07-25 08:31:33,0.86,0.04,24.33,23.16,3511831000000,B
KIDS_356.5_-31.2,356.505,-31.159,r,2013-09-29 02:50:30,0.62,0.06,25.08,24.21,30895770000000,A
KIDS_1.2_-33.1,1.188,-33.137,u,2014-07-25 06:43:21,1.13,0.03,24.27,22.98,3360638000000,B
